Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results,CVE,Associated Project,Star_Count,Has YAML in Workflows,Has Dependabot
github,excalidraw,https://github.com/excalidraw/excalidraw,,,criticality_score,,,,,,,71400,TRUE,FALSE
github,awesome-vue,https://github.com/vuejs/awesome-vue,,,criticality_score,,,,,,,70800,TRUE,FALSE
github,fastapi,https://github.com/tiangolo/fastapi,,,criticality_score,,,,,,,70000,TRUE,TRUE
github,core,https://github.com/home-assistant/core,,,criticality_score,,,,,,,68200,TRUE,TRUE
github,netdata,https://github.com/netdata/netdata,,,criticality_score,,,,,,,67900,TRUE,TRUE
github,,https://github.com/moby/moby,,,250 most common github urls in cve database,,,,,,,67600,TRUE,FALSE
github,elasticsearch,https://github.com/elastic/elasticsearch,,,criticality_score,,,,,,,67200,TRUE,FALSE
github,reveal.js,https://github.com/hakimel/reveal.js,,,criticality_score,,,,,,,66800,TRUE,FALSE
github,mermaid,https://github.com/mermaid-js/mermaid,,,criticality_score,,,,,,,66400,TRUE,FALSE
github,flask,https://github.com/pallets/flask,,,criticality_score,,,,,,,66100,TRUE,TRUE
github,swift,https://github.com/apple/swift,,,criticality_score,,,,,,,65700,FALSE,FALSE
github,code-server,https://github.com/cdr/code-server,,,criticality_score,,,,,,,64900,TRUE,FALSE
github,,https://github.com/redis/redis,,,250 most common github urls in cve database,,,,,,,64400,TRUE,TRUE
github,vite,https://github.com/vitejs/vite,,,criticality_score,,,,,,,64200,TRUE,FALSE
github,webpack,https://github.com/webpack/webpack,,,criticality_score,,,,,,,64099,TRUE,TRUE
github,nest,https://github.com/nestjs/nest,,,criticality_score,,,,,,,63800,TRUE,TRUE
github,express,https://github.com/expressjs/express,,,criticality_score,,,,,,,63600,TRUE,FALSE
github,protobuf,https://github.com/protocolbuffers/protobuf,,,criticality_score,,,,,,,63400,TRUE,TRUE
github,Chart.js,https://github.com/chartjs/Chart.js,,,criticality_score,,,,,,,63300,TRUE,TRUE
github,playwright,https://github.com/microsoft/playwright,,,criticality_score,,,,,,,61100,TRUE,FALSE
github,,https://github.com/ansible/ansible,,,250 most common github urls in cve database,,,,,,,60800,FALSE,FALSE
github,keras,https://github.com/keras-team/keras,,,criticality_score,,,,,,,60800,TRUE,TRUE
github,redux,https://github.com/reduxjs/redux,,,criticality_score,,,,,,,60400,TRUE,FALSE
github,socket.io,https://github.com/socketio/socket.io,,,criticality_score,,,,,,,60000,TRUE,FALSE
github,,https://github.com/grafana/grafana,,,250 most common github urls in cve database,,,,,,,60000,TRUE,TRUE
github,atom,https://github.com/atom/atom,,,criticality_score,,,,,,,59900,FALSE,FALSE
github,strapi,https://github.com/strapi/strapi,,,criticality_score,,,,,,,59600,TRUE,TRUE
github,,https://github.com/python/cpython,,,250 most common github urls in cve database,,,,,,,59200,TRUE,TRUE
github,syncthing,https://github.com/syncthing/syncthing,,,criticality_score,,,,,,,59000,TRUE,TRUE
github,fzf,https://github.com/junegunn/fzf,,,criticality_score,,,,,,,59000,TRUE,TRUE
github,angular.js,https://github.com/angular/angular.js,,,criticality_score,,,,,,,58900,FALSE,FALSE
github,jquery,https://github.com/jquery/jquery,,,criticality_score,,,,,,,58800,TRUE,TRUE
github,echarts,https://github.com/apache/echarts,,,criticality_score,,,,,,,58700,TRUE,FALSE
github,Apache,https://github.com/apache,,,wg/ossf,,,,,,,58700,FALSE,FALSE
github,incubator-echarts,https://github.com/apache/incubator-echarts,,,criticality_score,,,,,,,58700,TRUE,FALSE
github,lodash,https://github.com/lodash/lodash,,,criticality_score,,,,,,,58700,TRUE,FALSE
github,superset,https://github.com/apache/superset,,,criticality_score,,,,,,,58000,TRUE,TRUE
